P3_,P4_,P5_,P8_,P9_,P17_,P19_,P28_,P34_,P35_,P37_
0.01840226450134002,0.017048857159317657,0.014690455683356928,0.016272287164090734,0.020345275512490955,0.020891224625789323,0.021991310640298547,0.019851861929824827,0.01777003894434082,0.014988018570750689,0.013881955255799893
0.018311276001955087,0.016949185578844384,0.014774611329195195,0.01612305803242048,0.02029218234916602,0.02079352310261869,0.021806123963029934,0.019826712984097827,0.01769067073504435,0.014929623529181979,0.01377728070593747
0.018582641410453776,0.017172820253560064,0.014948888694743003,0.016036879845250745,0.020293987365989707,0.020743957106513493,0.02166212350037994,0.01985738362567646,0.01752545928586866,0.014783279340655408,0.013698635916697819
0.018301998100094096,0.016961411808889708,0.014462378754616744,0.015891788737243586,0.02002568863818849,0.020305820479090013,0.0215184028619984,0.019515270183720727,0.017455493342578655,0.014781404888380246,0.013605050750340592
0.018201847196523423,0.01677961224486838,0.014408356130193046,0.01581888459628449,0.01976915125188076,0.020260297092852108,0.021434134030801074,0.019452587949962987,0.017497066185182982,0.014496724718313106,0.013547835647518736
0.01822253514805367,0.01671667490535706,0.014373765293142281,0.01573344104355568,0.019774006883684407,0.020199178088996704,0.02141026189379173,0.019400240707737448,0.01744285117362797,0.01450921167556321,0.013504721294713461
0.018307360575421885,0.016746728381306888,0.014205645244612295,0.01561332257541587,0.019940950447438776,0.020012587607390706,0.021406073941916574,0.019233814839305387,0.017325410703261553,0.01483321942374607,0.013512733219492465
0.018499709023252587,0.016757180222863252,0.014243603339511973,0.01553613396048931,0.01978950589576492,0.020085717251103148,0.02134508675788042,0.019118906663933812,0.017474605071301098,0.014715046421030758,0.013680910768750214
0.018374034605294996,0.016617451272927262,0.014093227938068505,0.015526772247010679,0.019678612078666276,0.020057956191984215,0.021290198931350764,0.019193356700919005,0.01735426363842383,0.014288986740404033,0.013427658101888647
0.018146471448701688,0.016585987032718078,0.01386323920313459,0.01556826564276899,0.019656045653158667,0.020007247715379026,0.021253634094596654,0.019232080424893674,0.017120755355660905,0.01397225124421904,0.013273612546229618
0.01803882657204083,0.016738085352212346,0.013708133362309517,0.015564256589325013,0.019629288215698572,0.01999111079549558,0.02122050682571101,0.019076855089526158,0.016998504674644088,0.014011326720647721,0.013526506406315595
0.01791580346432743,0.016470176068369764,0.013628266900010863,0.015209737411829832,0.01928098805208956,0.01976371507817904,0.021122859193863683,0.018897586283500942,0.01699340198968829,0.014095248268122858,0.01337485431469964
0.01793011968477304,0.01636433410274788,0.01351869827664491,0.015069374179039509,0.019251851815879368,0.019631085085554868,0.021145369118897167,0.018919621029555172,0.017098347343559438,0.0141821514103361,0.013326923354768445
0.018077326408583894,0.016441354343464786,0.013518391757326388,0.015201105166019689,0.01938916401796382,0.019629940938580323,0.021171808322605647,0.0189830259277438,0.01722818268749595,0.01426286602898735,0.013435029060649107
0.01823913584955743,0.016495104213116667,0.01374743156532445,0.015396310613181578,0.019313602744711406,0.01966743037034953,0.021038303059119606,0.018851854350854645,0.017277129402261938,0.014319442643807016,0.013553068195861726
0.018078130646435764,0.01640885525138217,0.013720668887079283,0.015263246105750696,0.019296458359628413,0.019614084490530044,0.02101126381471351,0.0187992485413006,0.01720573072260143,0.01415235285770127,0.013512664224647676
0.017903375990401156,0.01629810011539626,0.013585667341553507,0.015169892633139597,0.0191735218283684,0.019515114618498607,0.02094658645492701,0.018775622437658318,0.017123189088203313,0.01402513776080454,0.013360953261162021
0.01791548271787396,0.0162724411186732,0.013504741049539578,0.015199544821204943,0.019041209293606476,0.019442684226137794,0.020911589650467036,0.018767611074425747,0.01705578123599582,0.014000525777250979,0.013231693381201207
0.018139786950901085,0.016388308614610506,0.013582544789939862,0.015153715930275083,0.019189814787606063,0.019463219805951105,0.021125666871745535,0.0187913199463709,0.016952130476381375,0.01393632293222316,0.013287734414859427
0.01806793719191189,0.01623341866388395,0.01341607630384432,0.015069462190884847,0.019118867791341945,0.01937973112862415,0.020994988235934493,0.01857761395906162,0.016832989481375987,0.013694896732889919,0.013204559282875401
0.01793904067398555,0.01614659115948805,0.013251674929734428,0.01503461135823696,0.01889264006300163,0.019316960604327447,0.020883747461607895,0.018405062083651988,0.016857196428019448,0.013675260627153792,0.013246980649812948
0.017957286710523494,0.016299222800817293,0.013251442356827847,0.015051691038853296,0.018699887882968454,0.01934353214188927,0.020996508569826888,0.018443885917018794,0.017032713294321836,0.013966851584347458,0.013475307905062163
0.018035735929156922,0.016338273993461754,0.013221572906744226,0.014936297492974933,0.01878439944261672,0.019330760335995838,0.020956825376748846,0.018509940567752826,0.017056423522188682,0.013932137029345083,0.013396641630203756
0.01807770324938493,0.016288506072958276,0.013327770008158291,0.01500880522994066,0.018909555338615942,0.01929332688249131,0.020917225107521215,0.018533515140680926,0.01704043859192556,0.0138515223829368,0.013275305716922866
0.018100201667711285,0.01622796999502846,0.013390653423338367,0.015159778592365539,0.018989408241297502,0.01926912389142528,0.020950873840191963,0.018565275106116937,0.017033334942097512,0.013750202901096454,0.013293874803636484
